GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,,,,HD01_VD26,,,,HC01_EST_VC35,HC02_EST_VC35,HC03_EST_VC35,HC01_EST_VC36,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_MOE_VC55,HC02_EST_VC55,HC01_EST_VC02,HC02_EST_VC02,HC05_EST_VC02,HC01_EST_VC03,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC15,HC01_EST_VC17,HC01_EST_VC18,HC01_EST_VC20
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,m_lt_ql_19,m_20_69,m_70_and_over,Estimate; Female:,f_lt_ql_19,f_20_69,f_70_and_over,Total; Estimate; SUMMARY INDICATORS - Median age (years),Male; Estimate; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Old-age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Total; Estimate; Workers 16 years and over,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Margin of Error; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Male; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Total; Estimate; Total households,Married-couple family household; Estimate; Total households,Nonfamily household; Estimate; Total households,Total; Estimate; Average household size,Total; Estimate; FAMILIES - Total families,Total; Estimate; FAMILIES - Average family size,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years - Under 6 years only,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years - Under 6 years and 6 to 17 years,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years - 6 to 17 years only,Total; Estimate; Total households,Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over,Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over
8600000US60002,60002,ZCTA5 60002,24368,12451,3525,7907,1019,11917,2986,7796,1135,41.2,40.1,42.3,104.5,61.9,22.4,39.5,11938,90.8,2.9,0.7,0,0.8,4.7,1.7,37.6,9035,5158,2520,2.69,6515,3.18,2968,19.7,11.3,69,9035,35.5,36.5,9.6
8600000US60004,60004,ZCTA5 60004,50974,24488,6186,15917,2385,26486,6272,16389,3825,42.3,41.1,43.8,92.5,67.1,29.3,37.8,25872,86.9,6.4,1.2,0.5,0.4,4.5,0.8,30.9,19782,11902,6109,2.54,13673,3.11,5763,21.2,17.2,61.6,19782,29.8,41.2,12.2
8600000US60005,60005,ZCTA5 60005,29936,15199,3657,10047,1495,14737,3069,9236,2432,43.8,41.4,45.3,103.1,65.6,31.8,33.8,14916,83.8,7.4,2.3,0.2,0.8,5.5,1.6,32.1,12719,6280,5236,2.33,7483,3.12,2990,27,16.3,56.7,12719,25.3,42.8,16.8
8600000US60007,60007,ZCTA5 60007,33733,16899,4020,11745,1134,16834,3039,11576,2219,43.1,40.2,45.9,100.4,54.8,24.8,29.9,18090,90.5,3,0.8,0.3,0.5,4.9,1.2,27.2,13523,7052,4551,2.48,8972,3.13,3667,24.8,16.2,58.9,13523,28.3,39.6,11.8
8600000US60008,60008,ZCTA5 60008,22023,10544,2468,7355,721,11479,2947,7228,1304,37,35,39.5,91.9,57.4,21,36.4,11087,88.4,4.2,1.6,0.1,1.3,4.4,1.7,27.4,8355,4035,2874,2.59,5481,3.22,2575,22.9,25.1,52,8355,32,36.2,11.1
8600000US60010,60010,ZCTA5 60010,44930,21497,5701,13403,2393,23433,5775,14648,3010,47.1,46.8,47.4,91.7,73.5,32.6,40.9,21111,80.4,7.5,0.9,0.1,0.7,10.5,1.1,36.4,16215,11665,3337,2.75,12878,3.14,5131,15.2,13.3,71.4,16215,33.2,46.3,10.1
8600000US60012,60012,ZCTA5 60012,10696,5195,1214,3595,386,5501,1443,3546,512,47,47.1,47,94.4,54,20,34.1,5950,82.9,3.6,0.5,0.2,1.9,10.9,3.6,41.8,3835,2915,682,2.78,3153,3.09,1261,7.7,14.5,77.8,3835,33.9,38.5,10.4
8600000US60013,60013,ZCTA5 60013,25968,13228,3745,8677,806,12740,3465,8458,817,39.9,39.5,40.8,103.8,54.5,15.2,39.2,13500,87.1,5.6,0.3,0.1,0.6,6.3,1.4,40.7,8957,6101,1838,2.89,7119,3.28,3188,16.8,18.1,65.1,8957,37.9,32.7,5.2
8600000US60014,60014,ZCTA5 60014,48822,24240,6866,15728,1646,24582,6480,15930,2172,39,37.7,40,98.6,56.1,17.7,38.3,26018,89.6,3.4,0.7,0.2,0.4,5.6,1.3,36,17290,10033,4659,2.81,12631,3.28,6130,16,16.1,68,17290,37.5,32,8.9
8600000US60015,60015,ZCTA5 60015,27388,13312,4103,7988,1221,14076,3885,8651,1540,43.2,42.4,44,94.6,72,27.7,44.3,13400,76.5,9.9,2.1,0.4,0.8,10.2,1.2,32.4,9520,6666,2061,2.78,7459,3.2,3677,16.6,14,69.3,9520,40.2,41.7,10.7
8600000US60016,60016,ZCTA5 60016,59726,29580,7422,19474,2684,30146,5895,20139,4112,40.8,38.3,43.9,98.1,58.7,26,32.7,30464,86,6.3,1.3,0.3,1.3,4.7,1.1,30.5,23166,11884,8150,2.54,15016,3.23,6430,29.4,16.1,54.5,23166,29.5,40,12.5
8600000US60018,60018,ZCTA5 60018,30519,15658,4128,10318,1212,14861,3681,9422,1758,38.5,36,41.1,105.4,59.7,23.1,36.6,14956,90,4.1,1.8,0.3,1.3,2.6,0.9,26.5,10225,5596,3117,2.95,7108,3.61,3071,20.6,23.7,55.7,10225,33,43,13.6
8600000US60020,60020,ZCTA5 60020,9616,4460,998,3105,357,5156,1071,3401,684,42.5,39.9,45.7,86.5,55.1,25.9,29.2,4885,93.7,1.8,0.5,0.1,0,3.8,2.7,40.1,4318,1475,2098,2.22,2220,3.07,888,22.9,23.2,53.9,4318,22.3,38.6,16.3
