"ZipCode","Category","YearsAhead","AbsoluteValue","NormalizedValue","Rank","Metric"
"60644","Crime",0,7165,0.184402787949014,7,"Total Number of Crimes"
"60636","Crime",0,6778,0.202169115636269,9,"Total Number of Crimes"
"60653","Crime",0,3147,0.447656025049951,30,"Total Number of Crimes"
"60615","Crime",0,3261,0.436270330206365,27,"Total Number of Crimes"
"60621","Crime",0,6048,0.238630453665072,13,"Total Number of Crimes"
"60609","Crime",0,5136,0.29092958326103,17,"Total Number of Crimes"
"60628","Crime",0,9052,0.109602306745201,4,"Total Number of Crimes"
"60827","Crime",0,1062,0.795231744984435,45,"Total Number of Crimes"
"60620","Crime",0,9382,0.0981452747948283,2,"Total Number of Crimes"
"60617","Crime",0,6871,0.197808777152368,8,"Total Number of Crimes"
"60608","Crime",0,4256,0.35106519315064,20,"Total Number of Crimes"
"60651","Crime",0,6594,0.210975147149022,10,"Total Number of Crimes"
"60649","Crime",0,6064,0.237785105252918,12,"Total Number of Crimes"
"60647","Crime",0,4745,0.316265350529533,19,"Total Number of Crimes"
"60619","Crime",0,7809,0.156863837168811,6,"Total Number of Crimes"
"60640","Crime",0,3226,0.439723037234102,29,"Total Number of Crimes"
"60637","Crime",0,6165,0.232499780566572,11,"Total Number of Crimes"
"60641","Crime",0,2997,0.463282381583112,32,"Total Number of Crimes"
"60616","Crime",0,3308,0.431691680960123,26,"Total Number of Crimes"
"60623","Crime",0,8443,0.131887182768521,5,"Total Number of Crimes"
"60624","Crime",0,9376,0.0983499645477619,3,"Total Number of Crimes"
"60618","Crime",0,3730,0.393275354644426,23,"Total Number of Crimes"
"60638","Crime",0,1910,0.607428982726249,40,"Total Number of Crimes"
"60660","Crime",0,1451,0.695371225566114,44,"Total Number of Crimes"
"60632","Crime",0,3941,0.375668920593215,22,"Total Number of Crimes"
"60614","Crime",0,3995,0.37131450204151,21,"Total Number of Crimes"
"60639","Crime",0,5184,0.287953150747473,16,"Total Number of Crimes"
"60610","Crime",0,2686,0.498337238929093,34,"Total Number of Crimes"
"60625","Crime",0,3023,0.460518554137494,31,"Total Number of Crimes"
"60652","Crime",0,1938,0.602772457058509,39,"Total Number of Crimes"
"12311","Crime",0,12750,0,1,"Total Number of Crimes"
"60622","Crime",0,3429,0.420197000684558,25,"Total Number of Crimes"
"60629","Crime",0,5846,0.24949962822864,14,"Total Number of Crimes"
"60626","Crime",0,2790,0.48618228010334,33,"Total Number of Crimes"
"60642","Crime",0,1993,0.593818410359851,38,"Total Number of Crimes"
"60643","Crime",0,3590,0.4055159145847,24,"Total Number of Crimes"
"60659","Crime",0,1731,0.63891472774845,42,"Total Number of Crimes"
"60633","Crime",0,589,0.983845200157178,50,"Total Number of Crimes"
"60646","Crime",0,606,0.974741002374432,49,"Total Number of Crimes"
"60612","Crime",0,5208,0.286475253487692,15,"Total Number of Crimes"
"6761","Crime",0,4830,0.310584374982133,18,"Total Number of Crimes"
"60654","Crime",0,2447,0.528154801951556,35,"Total Number of Crimes"
"60634","Crime",0,2228,0.558154152229005,36,"Total Number of Crimes"
"60657","Crime",0,3241,0.438238741138482,28,"Total Number of Crimes"
"60630","Crime",0,1828,0.621469257351481,41,"Total Number of Crimes"
"60707","Crime",0,798,0.886677703252157,46,"Total Number of Crimes"
"60631","Crime",0,613,0.971066229717404,48,"Total Number of Crimes"
"60613","Crime",0,2079,0.580301213630955,37,"Total Number of Crimes"
"60645","Crime",0,1485,0.687960279566332,43,"Total Number of Crimes"
"60655","Crime",0,638,0.958276190076889,47,"Total Number of Crimes"
"60656","Crime",0,560,1,51,"Total Number of Crimes"
"60644","Crime",1,6610.00000000262,0.200754263661293,7,"Total Number of Crimes"
"60636","Crime",1,6270.35294118198,0.217166529026394,9,"Total Number of Crimes"
"60653","Crime",1,2778.23529411805,0.47042913130009,31,"Total Number of Crimes"
"60615","Crime",1,2975.4705882357,0.449090089333046,27,"Total Number of Crimes"
"60621","Crime",1,5552.5882352947,0.254989768265128,13,"Total Number of Crimes"
"60609","Crime",1,4188.99999999888,0.342666027710279,18,"Total Number of Crimes"
"60628","Crime",1,8451.88235294118,0.124277519414763,4,"Total Number of Crimes"
"60827","Crime",1,977.705882352658,0.795358484307527,45,"Total Number of Crimes"
"60620","Crime",1,8806.52941176751,0.111488877681983,3,"Total Number of Crimes"
"60617","Crime",1,6351.41176470832,0.213170267232288,8,"Total Number of Crimes"
"60608","Crime",1,3767.47058823002,0.375663599983943,20,"Total Number of Crimes"
"60651","Crime",1,5941.76470588304,0.23391339763716,10,"Total Number of Crimes"
"60649","Crime",1,5613.5294117646,0.25159366653791,11,"Total Number of Crimes"
"60647","Crime",1,4107.76470588235,0.348758837302755,19,"Total Number of Crimes"
"60619","Crime",1,7342.17647059018,0.168069850235236,6,"Total Number of Crimes"
"60640","Crime",1,2846.94117646949,0.462828544704244,29,"Total Number of Crimes"
"60637","Crime",1,5600.47058823455,0.252318288414698,12,"Total Number of Crimes"
"60641","Crime",1,2706.8235294145,0.478530917151713,32,"Total Number of Crimes"
"60616","Crime",1,2927.99999999827,0.454093824481502,28,"Total Number of Crimes"
"60623","Crime",1,8030.17647058987,0.140201833596881,5,"Total Number of Crimes"
"60624","Crime",1,9078.29411765107,0.102032831866334,2,"Total Number of Crimes"
"60618","Crime",1,3298.52941176393,0.417020816908618,24,"Total Number of Crimes"
"60638","Crime",1,1691.82352941176,0.624750934218708,41,"Total Number of Crimes"
"60660","Crime",1,1296.76470588165,0.707490341330249,44,"Total Number of Crimes"
"60632","Crime",1,3592.52941176601,0.390456856251668,22,"Total Number of Crimes"
"60614","Crime",1,3760.58823529654,0.376232481470875,21,"Total Number of Crimes"
"60639","Crime",1,4711.70588235237,0.306081227197446,16,"Total Number of Crimes"
"60610","Crime",1,2364.05882352902,0.520656221886827,35,"Total Number of Crimes"
"60625","Crime",1,2807.82352941177,0.467133145253682,30,"Total Number of Crimes"
"60652","Crime",1,1780.23529411759,0.608902563508838,39,"Total Number of Crimes"
"12311","Crime",1,12601.7058823504,0,1,"Total Number of Crimes"
"60622","Crime",1,3010.52941176909,0.44544562809415,26,"Total Number of Crimes"
"60629","Crime",1,5399.82352941857,0.263669557409059,14,"Total Number of Crimes"
"60626","Crime",1,2487.52941176782,0.504816734801001,33,"Total Number of Crimes"
"60642","Crime",1,1853.94117647059,0.596280701197484,38,"Total Number of Crimes"
"60643","Crime",1,3338.76470587986,0.413248664937041,23,"Total Number of Crimes"
"60659","Crime",1,1625.94117647083,0.637108938903329,42,"Total Number of Crimes"
"60633","Crime",1,562.411764705772,0.967403841186441,49,"Total Number of Crimes"
"60646","Crime",1,565.764705882665,0.965554496264473,48,"Total Number of Crimes"
"60612","Crime",1,4747.47058823874,0.303728502325998,15,"Total Number of Crimes"
"6761","Crime",1,4665.88235293899,0.309121892215368,17,"Total Number of Crimes"
"60654","Crime",1,2377.64705882247,0.518873032876057,34,"Total Number of Crimes"
"60634","Crime",1,2025.00000000157,0.568821885603044,36,"Total Number of Crimes"
"60657","Crime",1,3070.58823529452,0.439299872570406,25,"Total Number of Crimes"
"60630","Crime",1,1701.52941176664,0.622971118990256,40,"Total Number of Crimes"
"60707","Crime",1,720.705882352454,0.890245312290375,46,"Total Number of Crimes"
"60631","Crime",1,559.647058822537,0.968937052213876,50,"Total Number of Crimes"
"60613","Crime",1,1949.47058823529,0.580648402240177,37,"Total Number of Crimes"
"60645","Crime",1,1389.70588235316,0.685954235540235,43,"Total Number of Crimes"
"60655","Crime",1,579.705882352941,0.957980856037994,47,"Total Number of Crimes"
"60656","Crime",1,506.470588234685,1,51,"Total Number of Crimes"
"60644","Crime",2,6055.00000000524,0.217595937125177,7,"Total Number of Crimes"
"60636","Crime",2,5762.70588236395,0.23252575786337,9,"Total Number of Crimes"
"60653","Crime",2,2409.47058823611,0.495652896671247,32,"Total Number of Crimes"
