ZipCode,Category,Destination,YearsAhead,AbsoluteValue,NormalizedValue,Rank,Metric
6761,Distance To Work,6761,,0,1,1,Distance between two zipcodes in miles
12311,Distance To Work,6761,,1.032,0.935020778,3,Distance between two zipcodes in miles
60608,Distance To Work,6761,,2.923,0.815955169,8,Distance between two zipcodes in miles
60609,Distance To Work,6761,,4.94,0.688956051,17,Distance between two zipcodes in miles
60610,Distance To Work,6761,,1.38,0.91310918,4,Distance between two zipcodes in miles
60612,Distance To Work,6761,,2.579,0.83761491,6,Distance between two zipcodes in miles
60613,Distance To Work,6761,,4.859,0.694056164,15,Distance between two zipcodes in miles
60614,Distance To Work,6761,,2.808,0.823196071,7,Distance between two zipcodes in miles
60615,Distance To Work,6761,,5.254,0.669185241,19,Distance between two zipcodes in miles
60616,Distance To Work,6761,,2.947,0.814444025,10,Distance between two zipcodes in miles
60617,Distance To Work,6761,,11.348,0.285480418,45,Distance between two zipcodes in miles
60618,Distance To Work,6761,,5.736,0.638836419,21,Distance between two zipcodes in miles
60619,Distance To Work,6761,,9.786,0.383830752,41,Distance between two zipcodes in miles
60620,Distance To Work,6761,,9.717,0.388175293,40,Distance between two zipcodes in miles
60621,Distance To Work,6761,,6.902,0.565419972,25,Distance between two zipcodes in miles
60622,Distance To Work,6761,,2.925,0.815829241,9,Distance between two zipcodes in miles
60623,Distance To Work,6761,,4.966,0.687318977,18,Distance between two zipcodes in miles
60624,Distance To Work,6761,,4.126,0.740209042,11,Distance between two zipcodes in miles
60625,Distance To Work,6761,,6.939,0.563090291,26,Distance between two zipcodes in miles
60626,Distance To Work,6761,,9.104,0.426772447,35,Distance between two zipcodes in miles
60628,Distance To Work,6761,,13.154,0.17176678,49,Distance between two zipcodes in miles
60629,Distance To Work,6761,,7.565,0.5236746,31,Distance between two zipcodes in miles
60630,Distance To Work,6761,,8.766,0.448054401,34,Distance between two zipcodes in miles
60631,Distance To Work,6761,,12.435,0.217038156,46,Distance between two zipcodes in miles
60632,Distance To Work,6761,,4.879,0.692796877,16,Distance between two zipcodes in miles
60633,Distance To Work,6761,,15.071,0.051064098,50,Distance between two zipcodes in miles
60634,Distance To Work,6761,,10.007,0.369915628,42,Distance between two zipcodes in miles
60636,Distance To Work,6761,,7.073,0.554653066,28,Distance between two zipcodes in miles
60637,Distance To Work,6761,,7.204,0.546404735,29,Distance between two zipcodes in miles
60638,Distance To Work,6761,,9.626,0.39390505,38,Distance between two zipcodes in miles
60639,Distance To Work,6761,,6.775,0.573416446,24,Distance between two zipcodes in miles
60640,Distance To Work,6761,,6.296,0.603576376,23,Distance between two zipcodes in miles
60641,Distance To Work,6761,,7.449,0.530978466,30,Distance between two zipcodes in miles
60642,Distance To Work,6761,,1.723,0.891512404,5,Distance between two zipcodes in miles
60643,Distance To Work,6761,,12.466,0.215086261,47,Distance between two zipcodes in miles
60644,Distance To Work,6761,,6.189,0.610313563,22,Distance between two zipcodes in miles
60645,Distance To Work,6761,,9.335,0.412227679,37,Distance between two zipcodes in miles
60646,Distance To Work,6761,,10.336,0.349200353,43,Distance between two zipcodes in miles
60647,Distance To Work,6761,,4.146,0.738949754,12,Distance between two zipcodes in miles
60649,Distance To Work,6761,,8.642,0.455861982,33,Distance between two zipcodes in miles
60651,Distance To Work,6761,,5.339,0.66383327,20,Distance between two zipcodes in miles
60652,Distance To Work,6761,,9.673,0.390945725,39,Distance between two zipcodes in miles
60653,Distance To Work,6761,,4.421,0.721634555,14,Distance between two zipcodes in miles
60654,Distance To Work,6761,,0.69,0.95655459,2,Distance between two zipcodes in miles
60655,Distance To Work,6761,,12.938,0.185367082,48,Distance between two zipcodes in miles
60656,Distance To Work,6761,,11.165,0.297002896,44,Distance between two zipcodes in miles
60657,Distance To Work,6761,,4.267,0.731331067,13,Distance between two zipcodes in miles
60659,Distance To Work,6761,,8.197,0.483881123,32,Distance between two zipcodes in miles
60660,Distance To Work,6761,,6.978,0.560634681,27,Distance between two zipcodes in miles
60707,Distance To Work,6761,,9.19,0.421357512,36,Distance between two zipcodes in miles
60827,Distance To Work,6761,,15.882,0,51,Distance between two zipcodes in miles
6761,Distance To Work,12311,,1.032,0.935020778,2,Distance between two zipcodes in miles
12311,Distance To Work,12311,,0,1,1,Distance between two zipcodes in miles
60608,Distance To Work,12311,,3.724,0.765520715,9,Distance between two zipcodes in miles
60609,Distance To Work,12311,,5.254,0.669185241,17,Distance between two zipcodes in miles
60610,Distance To Work,12311,,1.723,0.891512404,4,Distance between two zipcodes in miles
60612,Distance To Work,12311,,3.61,0.772698653,8,Distance between two zipcodes in miles
60613,Distance To Work,12311,,5.073,0.680581791,15,Distance between two zipcodes in miles
60614,Distance To Work,12311,,3.164,0.800780758,7,Distance between two zipcodes in miles
60615,Distance To Work,12311,,4.94,0.688956051,13,Distance between two zipcodes in miles
60616,Distance To Work,12311,,2.761,0.826155396,6,Distance between two zipcodes in miles
60617,Distance To Work,12311,,10.965,0.309595769,43,Distance between two zipcodes in miles
60618,Distance To Work,12311,,6.352,0.600050371,21,Distance between two zipcodes in miles
60619,Distance To Work,12311,,9.676,0.390756832,37,Distance between two zipcodes in miles
60620,Distance To Work,12311,,9.88,0.377912102,38,Distance between two zipcodes in miles
60621,Distance To Work,12311,,6.978,0.560634681,23,Distance between two zipcodes in miles
60622,Distance To Work,12311,,3.865,0.75664274,10,Distance between two zipcodes in miles
60623,Distance To Work,12311,,5.852,0.631532553,19,Distance between two zipcodes in miles
60624,Distance To Work,12311,,5.158,0.67522982,16,Distance between two zipcodes in miles
60625,Distance To Work,12311,,7.456,0.530537716,28,Distance between two zipcodes in miles
60626,Distance To Work,12311,,9.335,0.412227679,34,Distance between two zipcodes in miles
60628,Distance To Work,12311,,13.113,0.174348319,47,Distance between two zipcodes in miles
60629,Distance To Work,12311,,8.043,0.493577635,30,Distance between two zipcodes in miles
60630,Distance To Work,12311,,9.521,0.400516308,35,Distance between two zipcodes in miles
60631,Distance To Work,12311,,13.221,0.167548168,48,Distance between two zipcodes in miles
60632,Distance To Work,12311,,5.495,0.65401083,18,Distance between two zipcodes in miles
60633,Distance To Work,12311,,14.821,0.066805188,50,Distance between two zipcodes in miles
60634,Distance To Work,12311,,10.921,0.312366201,42,Distance between two zipcodes in miles
60636,Distance To Work,12311,,7.368,0.53607858,27,Distance between two zipcodes in miles
60637,Distance To Work,12311,,6.978,0.560634681,23,Distance between two zipcodes in miles
60638,Distance To Work,12311,,10.372,0.346933636,41,Distance between two zipcodes in miles
60639,Distance To Work,12311,,7.729,0.513348445,29,Distance between two zipcodes in miles
60640,Distance To Work,12311,,6.545,0.58789825,22,Distance between two zipcodes in miles
60641,Distance To Work,12311,,8.261,0.479851404,32,Distance between two zipcodes in miles
60642,Distance To Work,12311,,2.482,0.843722453,5,Distance between two zipcodes in miles
60643,Distance To Work,12311,,12.593,0.207089787,46,Distance between two zipcodes in miles
60644,Distance To Work,12311,,7.221,0.545334341,26,Distance between two zipcodes in miles
60645,Distance To Work,12311,,9.67,0.391134618,36,Distance between two zipcodes in miles
60646,Distance To Work,12311,,10.983,0.30846241,44,Distance between two zipcodes in miles
60647,Distance To Work,12311,,4.963,0.687507871,14,Distance between two zipcodes in miles
60649,Distance To Work,12311,,8.199,0.483755195,31,Distance between two zipcodes in miles
60651,Distance To Work,12311,,6.34,0.600805944,20,Distance between two zipcodes in miles
60652,Distance To Work,12311,,10.104,0.363808085,39,Distance between two zipcodes in miles
60653,Distance To Work,12311,,4.173,0.737249717,11,Distance between two zipcodes in miles
60654,Distance To Work,12311,,1.241,0.921861227,3,Distance between two zipcodes in miles
60655,Distance To Work,12311,,13.264,0.1648407,49,Distance between two zipcodes in miles
60656,Distance To Work,12311,,12.035,0.242223901,45,Distance between two zipcodes in miles
60657,Distance To Work,12311,,4.626,0.708726861,12,Distance between two zipcodes in miles
60659,Distance To Work,12311,,8.639,0.456050875,33,Distance between two zipcodes in miles
60660,Distance To Work,12311,,7.203,0.546467699,25,Distance between two zipcodes in miles
60707,Distance To Work,12311,,10.178,0.359148722,40,Distance between two zipcodes in miles
60827,Distance To Work,12311,,15.882,0,51,Distance between two zipcodes in miles
6761,Distance To Work,60608,,2.923,0.791853593,5,Distance between two zipcodes in miles
12311,Distance To Work,60608,,3.724,0.734814498,12,Distance between two zipcodes in miles
60608,Distance To Work,60608,,0,1,1,Distance between two zipcodes in miles
60609,Distance To Work,60608,,2.947,0.790144556,7,Distance between two zipcodes in miles
60610,Distance To Work,60608,,4.021,0.713665171,13,Distance between two zipcodes in miles
60612,Distance To Work,60608,,2.134,0.848038168,2,Distance between two zipcodes in miles
60613,Distance To Work,60608,,7.073,0.496332692,28,Distance between two zipcodes in miles
60614,Distance To Work,60608,,5.073,0.638752403,21,Distance between two zipcodes in miles
60615,Distance To Work,60608,,4.967,0.646300648,20,Distance between two zipcodes in miles
60616,Distance To Work,60608,,3.172,0.774122339,8,Distance between two zipcodes in miles
60617,Distance To Work,60608,,10.662,0.240760521,43,Distance between two zipcodes in miles
