ZipCode,Category,Destination,YearsAhead,AbsoluteValue,NormalizedValue,Rank,Metric
6761,Median Home Price,,0,444275,0.415900915,41,Median Home Price in Dollars
12311,Median Home Price,,0,644880,0.118752125,50,Median Home Price in Dollars
60608,Median Home Price,,0,299500,0.630350785,31,Median Home Price in Dollars
60609,Median Home Price,,0,238750,0.720337521,22,Median Home Price in Dollars
60610,Median Home Price,,0,563475,0.23933435,49,Median Home Price in Dollars
60612,Median Home Price,,0,298050,0.632498617,30,Median Home Price in Dollars
60613,Median Home Price,,0,340300,0.56991525,37,Median Home Price in Dollars
60614,Median Home Price,,0,725049.5,0,51,Median Home Price in Dollars
60615,Median Home Price,,0,233824.75,0.727633112,21,Median Home Price in Dollars
60616,Median Home Price,,0,345500,0.562212681,38,Median Home Price in Dollars
60617,Median Home Price,,0,129725,0.881832234,8,Median Home Price in Dollars
60618,Median Home Price,,0,492525,0.344429969,44,Median Home Price in Dollars
60619,Median Home Price,,0,124025,0.890275433,7,Median Home Price in Dollars
60620,Median Home Price,,0,130050,0.881350823,9,Median Home Price in Dollars
60621,Median Home Price,,0,49950,1,1,Median Home Price in Dollars
60622,Median Home Price,,0,558550,0.246629571,48,Median Home Price in Dollars
60623,Median Home Price,,0,114725,0.904051181,5,Median Home Price in Dollars
60624,Median Home Price,,0,139475,0.867389918,11,Median Home Price in Dollars
60625,Median Home Price,,0,327275,0.589208702,36,Median Home Price in Dollars
60626,Median Home Price,,0,184550,0.800621982,13,Median Home Price in Dollars
60628,Median Home Price,,0,80049.5,0.95541472,4,Median Home Price in Dollars
60629,Median Home Price,,0,199987.25,0.777755353,16,Median Home Price in Dollars
60630,Median Home Price,,0,346975,0.560027818,39,Median Home Price in Dollars
60631,Median Home Price,,0,361950,0.537845903,40,Median Home Price in Dollars
60632,Median Home Price,,0,215775,0.754369541,18,Median Home Price in Dollars
60633,Median Home Price,,0,132300,0.878017981,10,Median Home Price in Dollars
60634,Median Home Price,,0,299750,0.62998047,32.5,Median Home Price in Dollars
60636,Median Home Price,,0,52050,0.996889347,2,Median Home Price in Dollars
60637,Median Home Price,,0,187500,0.796252256,14,Median Home Price in Dollars
60638,Median Home Price,,0,250049,0.703600728,25,Median Home Price in Dollars
