"ZipCode","Category","YearsAhead","AbsoluteValue","NormalizedValue","Rank","Metric"
"6761","Median Home Price",0,444275,0.415900915346553,41,"Median Home Price in Dollars"
"12311","Median Home Price",0,644880,0.118752124686805,50,"Median Home Price in Dollars"
"60608","Median Home Price",0,299500,0.630350785328681,31,"Median Home Price in Dollars"
"60609","Median Home Price",0,238750,0.720337520617331,22,"Median Home Price in Dollars"
"60610","Median Home Price",0,563475,0.239334349973596,49,"Median Home Price in Dollars"
"60612","Median Home Price",0,298050,0.63249861687055,30,"Median Home Price in Dollars"
"60613","Median Home Price",0,340300,0.569915249529884,37,"Median Home Price in Dollars"
"60614","Median Home Price",0,725049.5,0,51,"Median Home Price in Dollars"
"60615","Median Home Price",0,233824.75,0.727633111859807,21,"Median Home Price in Dollars"
"60616","Median Home Price",0,345500,0.562212681241802,38,"Median Home Price in Dollars"
"60617","Median Home Price",0,129725,0.881832233618896,8,"Median Home Price in Dollars"
"60618","Median Home Price",0,492525,0.344429969211946,44,"Median Home Price in Dollars"
"60619","Median Home Price",0,124025,0.89027543347314,7,"Median Home Price in Dollars"
"60620","Median Home Price",0,130050,0.881350823100891,9,"Median Home Price in Dollars"
"60621","Median Home Price",0,49950,1,1,"Median Home Price in Dollars"
"60622","Median Home Price",0,558550,0.246629570900289,48,"Median Home Price in Dollars"
"60623","Median Home Price",0,114725,0.904051180603748,5,"Median Home Price in Dollars"
"60624","Median Home Price",0,139475,0.867389918078742,11,"Median Home Price in Dollars"
"60625","Median Home Price",0,327275,0.589208701828397,36,"Median Home Price in Dollars"
"60626","Median Home Price",0,184550,0.800621982389263,13,"Median Home Price in Dollars"
"60628","Median Home Price",0,80049.5,0.95541472034863,4,"Median Home Price in Dollars"
"60629","Median Home Price",0,199987.25,0.777755353099802,16,"Median Home Price in Dollars"
"60630","Median Home Price",0,346975,0.560027818121625,39,"Median Home Price in Dollars"
"60631","Median Home Price",0,361950,0.537845902715081,40,"Median Home Price in Dollars"
"60632","Median Home Price",0,215775,0.754369541082463,18,"Median Home Price in Dollars"
"60633","Median Home Price",0,132300,0.878017981053163,10,"Median Home Price in Dollars"
"60634","Median Home Price",0,299750,0.6299804695456,32.5,"Median Home Price in Dollars"
"60636","Median Home Price",0,52050,0.996889347422121,2,"Median Home Price in Dollars"
"60637","Median Home Price",0,187500,0.796252256148908,14,"Median Home Price in Dollars"
"60638","Median Home Price",0,250049,0.703600728485208,25,"Median Home Price in Dollars"
"60639","Median Home Price",0,259725,0.689268026416847,26,"Median Home Price in Dollars"
"60640","Median Home Price",0,284900,0.651977227060604,29,"Median Home Price in Dollars"
"60641","Median Home Price",0,318275,0.602540070019308,35,"Median Home Price in Dollars"
"60642","Median Home Price",0,542050,0.271070412583627,47,"Median Home Price in Dollars"
"60643","Median Home Price",0,221025,0.746592909637765,19,"Median Home Price in Dollars"
"60644","Median Home Price",0,145050,0.859131876116039,12,"Median Home Price in Dollars"
"60645","Median Home Price",0,224775,0.741038172891552,20,"Median Home Price in Dollars"
"60646","Median Home Price",0,455050,0.399940305095767,42,"Median Home Price in Dollars"
"60647","Median Home Price",0,500050,0.333283464141212,45,"Median Home Price in Dollars"
"60649","Median Home Price",0,115475,0.902940233254505,6,"Median Home Price in Dollars"
"60651","Median Home Price",0,214925,0.755628614744938,17,"Median Home Price in Dollars"
"60652","Median Home Price",0,191275,0.790660487824387,15,"Median Home Price in Dollars"
"60653","Median Home Price",0,306200,0.620426322342114,34,"Median Home Price in Dollars"
"60654","Median Home Price",0,525050,0.296251885833125,46,"Median Home Price in Dollars"
"60655","Median Home Price",0,262500,0.685157521224649,27,"Median Home Price in Dollars"
"60656","Median Home Price",0,299750,0.6299804695456,32.5,"Median Home Price in Dollars"
"60657","Median Home Price",0,486837.5,0.352854653277035,43,"Median Home Price in Dollars"
"60659","Median Home Price",0,242500,0.714782783871118,24,"Median Home Price in Dollars"
"60660","Median Home Price",0,240500,0.717745310135765,23,"Median Home Price in Dollars"
"60707","Median Home Price",0,274450,0.667456426793384,28,"Median Home Price in Dollars"
"60827","Median Home Price",0,62274.5,0.98174417252568,3,"Median Home Price in Dollars"
"6761","Median Home Price",1,462384.210526476,0.425304299684204,41,"Median Home Price in Dollars"
"12311","Median Home Price",1,649984.736842402,0.161274203122632,50,"Median Home Price in Dollars"
"60608","Median Home Price",1,315289.473684211,0.632326307217163,30,"Median Home Price in Dollars"
"60609","Median Home Price",1,252755.263157895,0.720337327057587,22,"Median Home Price in Dollars"
"60610","Median Home Price",1,589294.736842337,0.246689670099276,48,"Median Home Price in Dollars"
"60612","Median Home Price",1,325373.723684211,0.618133673787301,33,"Median Home Price in Dollars"
"60613","Median Home Price",1,350602.631578947,0.58262635875785,38,"Median Home Price in Dollars"
"60614","Median Home Price",1,764574.421052632,0,51,"Median Home Price in Dollars"
"60615","Median Home Price",1,245749.710526316,0.730196983499425,21,"Median Home Price in Dollars"
