ZipCode,Category,YearsAhead,AbsoluteValue,NormalizedValue,Rank,Metric
6761,Park,0,8,0.666666667,33,Count of parks
12311,Park,0,17,0.291666667,8,Count of parks
60608,Park,0,21,0.125,2,Count of parks
60609,Park,0,21,0.125,2,Count of parks
60610,Park,0,6,0.75,42,Count of parks
60612,Park,0,14,0.416666667,17,Count of parks
60613,Park,0,9,0.625,32,Count of parks
60614,Park,0,20,0.166666667,5,Count of parks
60615,Park,0,12,0.5,24,Count of parks
60616,Park,0,17,0.291666667,8,Count of parks
60617,Park,0,21,0.125,2,Count of parks
60618,Park,0,17,0.291666667,8,Count of parks
60619,Park,0,15,0.375,14,Count of parks
60620,Park,0,16,0.333333333,13,Count of parks
60621,Park,0,14,0.416666667,17,Count of parks
60622,Park,0,13,0.458333333,19,Count of parks
60623,Park,0,17,0.291666667,8,Count of parks
60624,Park,0,15,0.375,14,Count of parks
60625,Park,0,13,0.458333333,19,Count of parks
60626,Park,0,24,0,1,Count of parks
60628,Park,0,13,0.458333333,19,Count of parks
60629,Park,0,8,0.666666667,33,Count of parks
60630,Park,0,13,0.458333333,19,Count of parks
60631,Park,0,10,0.583333333,29,Count of parks
60632,Park,0,7,0.708333333,39,Count of parks
60633,Park,0,3,0.875,46,Count of parks
60634,Park,0,4,0.833333333,45,Count of parks
60636,Park,0,8,0.666666667,33,Count of parks
60637,Park,0,15,0.375,14,Count of parks
60638,Park,0,11,0.541666667,26,Count of parks
60639,Park,0,11,0.541666667,26,Count of parks
60640,Park,0,13,0.458333333,19,Count of parks
60641,Park,0,7,0.708333333,39,Count of parks
60642,Park,0,0,1,49,Count of parks
60643,Park,0,19,0.208333333,6,Count of parks
60644,Park,0,12,0.5,24,Count of parks
60645,Park,0,8,0.666666667,33,Count of parks
60646,Park,0,11,0.541666667,26,Count of parks
60647,Park,0,19,0.208333333,6,Count of parks
60649,Park,0,8,0.666666667,33,Count of parks
60651,Park,0,10,0.583333333,29,Count of parks
60652,Park,0,7,0.708333333,39,Count of parks
60653,Park,0,17,0.291666667,8,Count of parks
60654,Park,0,1,0.958333333,48,Count of parks
60655,Park,0,5,0.791666667,44,Count of parks
60656,Park,0,3,0.875,46,Count of parks
60657,Park,0,10,0.583333333,29,Count of parks
60659,Park,0,6,0.75,42,Count of parks
60660,Park,0,8,0.666666667,33,Count of parks
60707,Park,0,0,1,49,Count of parks
60827,Park,0,0,1,49,Count of parks
6761,Park,1,8,0.666666667,33,Count of parks
12311,Park,1,17,0.291666667,8,Count of parks
60608,Park,1,21,0.125,2,Count of parks
60609,Park,1,21,0.125,2,Count of parks
60610,Park,1,6,0.75,42,Count of parks
60612,Park,1,14,0.416666667,17,Count of parks
60613,Park,1,9,0.625,32,Count of parks
60614,Park,1,20,0.166666667,5,Count of parks
60615,Park,1,12,0.5,24,Count of parks
60616,Park,1,17,0.291666667,8,Count of parks
60617,Park,1,21,0.125,2,Count of parks
60618,Park,1,17,0.291666667,8,Count of parks
60619,Park,1,15,0.375,14,Count of parks
60620,Park,1,16,0.333333333,13,Count of parks
60621,Park,1,14,0.416666667,17,Count of parks
60622,Park,1,13,0.458333333,19,Count of parks
60623,Park,1,17,0.291666667,8,Count of parks
60624,Park,1,15,0.375,14,Count of parks
60625,Park,1,13,0.458333333,19,Count of parks
60626,Park,1,24,0,1,Count of parks
60628,Park,1,13,0.458333333,19,Count of parks
60629,Park,1,8,0.666666667,33,Count of parks
60630,Park,1,13,0.458333333,19,Count of parks
60631,Park,1,10,0.583333333,29,Count of parks
60632,Park,1,7,0.708333333,39,Count of parks
60633,Park,1,3,0.875,46,Count of parks
60634,Park,1,4,0.833333333,45,Count of parks
60636,Park,1,8,0.666666667,33,Count of parks
60637,Park,1,15,0.375,14,Count of parks
60638,Park,1,11,0.541666667,26,Count of parks
60639,Park,1,11,0.541666667,26,Count of parks
60640,Park,1,13,0.458333333,19,Count of parks
60641,Park,1,7,0.708333333,39,Count of parks
60642,Park,1,0,1,49,Count of parks
60643,Park,1,19,0.208333333,6,Count of parks
60644,Park,1,12,0.5,24,Count of parks
60645,Park,1,8,0.666666667,33,Count of parks
60646,Park,1,11,0.541666667,26,Count of parks
60647,Park,1,19,0.208333333,6,Count of parks
60649,Park,1,8,0.666666667,33,Count of parks
60651,Park,1,10,0.583333333,29,Count of parks
60652,Park,1,7,0.708333333,39,Count of parks
60653,Park,1,17,0.291666667,8,Count of parks
60654,Park,1,1,0.958333333,48,Count of parks
60655,Park,1,5,0.791666667,44,Count of parks
60656,Park,1,3,0.875,46,Count of parks
60657,Park,1,10,0.583333333,29,Count of parks
60659,Park,1,6,0.75,42,Count of parks
60660,Park,1,8,0.666666667,33,Count of parks
60707,Park,1,0,1,49,Count of parks
60827,Park,1,0,1,49,Count of parks
6761,Park,2,8,0.666666667,33,Count of parks
12311,Park,2,17,0.291666667,8,Count of parks
60608,Park,2,21,0.125,2,Count of parks
60609,Park,2,21,0.125,2,Count of parks
60610,Park,2,6,0.75,42,Count of parks
60612,Park,2,14,0.416666667,17,Count of parks
60613,Park,2,9,0.625,32,Count of parks
60614,Park,2,20,0.166666667,5,Count of parks
60615,Park,2,12,0.5,24,Count of parks
60616,Park,2,17,0.291666667,8,Count of parks
60617,Park,2,21,0.125,2,Count of parks
60618,Park,2,17,0.291666667,8,Count of parks
60619,Park,2,15,0.375,14,Count of parks
60620,Park,2,16,0.333333333,13,Count of parks
60621,Park,2,14,0.416666667,17,Count of parks
60622,Park,2,13,0.458333333,19,Count of parks
60623,Park,2,17,0.291666667,8,Count of parks
60624,Park,2,15,0.375,14,Count of parks
60625,Park,2,13,0.458333333,19,Count of parks
60626,Park,2,24,0,1,Count of parks
60628,Park,2,13,0.458333333,19,Count of parks
60629,Park,2,8,0.666666667,33,Count of parks
60630,Park,2,13,0.458333333,19,Count of parks
60631,Park,2,10,0.583333333,29,Count of parks
60632,Park,2,7,0.708333333,39,Count of parks
60633,Park,2,3,0.875,46,Count of parks
60634,Park,2,4,0.833333333,45,Count of parks
60636,Park,2,8,0.666666667,33,Count of parks
60637,Park,2,15,0.375,14,Count of parks
60638,Park,2,11,0.541666667,26,Count of parks
60639,Park,2,11,0.541666667,26,Count of parks
60640,Park,2,13,0.458333333,19,Count of parks
60641,Park,2,7,0.708333333,39,Count of parks
60642,Park,2,0,1,49,Count of parks
60643,Park,2,19,0.208333333,6,Count of parks
60644,Park,2,12,0.5,24,Count of parks
60645,Park,2,8,0.666666667,33,Count of parks
60646,Park,2,11,0.541666667,26,Count of parks
60647,Park,2,19,0.208333333,6,Count of parks
60649,Park,2,8,0.666666667,33,Count of parks
60651,Park,2,10,0.583333333,29,Count of parks
60652,Park,2,7,0.708333333,39,Count of parks
60653,Park,2,17,0.291666667,8,Count of parks
60654,Park,2,1,0.958333333,48,Count of parks
60655,Park,2,5,0.791666667,44,Count of parks
60656,Park,2,3,0.875,46,Count of parks
60657,Park,2,10,0.583333333,29,Count of parks
60659,Park,2,6,0.75,42,Count of parks
60660,Park,2,8,0.666666667,33,Count of parks
60707,Park,2,0,1,49,Count of parks
60827,Park,2,0,1,49,Count of parks
6761,Park,3,8,0.666666667,33,Count of parks
12311,Park,3,17,0.291666667,8,Count of parks
60608,Park,3,21,0.125,2,Count of parks
60609,Park,3,21,0.125,2,Count of parks
60610,Park,3,6,0.75,42,Count of parks
60612,Park,3,14,0.416666667,17,Count of parks
60613,Park,3,9,0.625,32,Count of parks
60614,Park,3,20,0.166666667,5,Count of parks
60615,Park,3,12,0.5,24,Count of parks
60616,Park,3,17,0.291666667,8,Count of parks
60617,Park,3,21,0.125,2,Count of parks
60618,Park,3,17,0.291666667,8,Count of parks
60619,Park,3,15,0.375,14,Count of parks
60620,Park,3,16,0.333333333,13,Count of parks
60621,Park,3,14,0.416666667,17,Count of parks
60622,Park,3,13,0.458333333,19,Count of parks
60623,Park,3,17,0.291666667,8,Count of parks
60624,Park,3,15,0.375,14,Count of parks
60625,Park,3,13,0.458333333,19,Count of parks
60626,Park,3,24,0,1,Count of parks
60628,Park,3,13,0.458333333,19,Count of parks
60629,Park,3,8,0.666666667,33,Count of parks
60630,Park,3,13,0.458333333,19,Count of parks
60631,Park,3,10,0.583333333,29,Count of parks
60632,Park,3,7,0.708333333,39,Count of parks
60633,Park,3,3,0.875,46,Count of parks
60634,Park,3,4,0.833333333,45,Count of parks
60636,Park,3,8,0.666666667,33,Count of parks
60637,Park,3,15,0.375,14,Count of parks
60638,Park,3,11,0.541666667,26,Count of parks
60639,Park,3,11,0.541666667,26,Count of parks
60640,Park,3,13,0.458333333,19,Count of parks
60641,Park,3,7,0.708333333,39,Count of parks
60642,Park,3,0,1,49,Count of parks
60643,Park,3,19,0.208333333,6,Count of parks
60644,Park,3,12,0.5,24,Count of parks
60645,Park,3,8,0.666666667,33,Count of parks
60646,Park,3,11,0.541666667,26,Count of parks
60647,Park,3,19,0.208333333,6,Count of parks
60649,Park,3,8,0.666666667,33,Count of parks
60651,Park,3,10,0.583333333,29,Count of parks
60652,Park,3,7,0.708333333,39,Count of parks
60653,Park,3,17,0.291666667,8,Count of parks
60654,Park,3,1,0.958333333,48,Count of parks
60655,Park,3,5,0.791666667,44,Count of parks
60656,Park,3,3,0.875,46,Count of parks
60657,Park,3,10,0.583333333,29,Count of parks
60659,Park,3,6,0.75,42,Count of parks
60660,Park,3,8,0.666666667,33,Count of parks
60707,Park,3,0,1,49,Count of parks
60827,Park,3,0,1,49,Count of parks
6761,Park,4,8,0.666666667,33,Count of parks
12311,Park,4,17,0.291666667,8,Count of parks
60608,Park,4,21,0.125,2,Count of parks
60609,Park,4,21,0.125,2,Count of parks
60610,Park,4,6,0.75,42,Count of parks
60612,Park,4,14,0.416666667,17,Count of parks
60613,Park,4,9,0.625,32,Count of parks
60614,Park,4,20,0.166666667,5,Count of parks
60615,Park,4,12,0.5,24,Count of parks
60616,Park,4,17,0.291666667,8,Count of parks
60617,Park,4,21,0.125,2,Count of parks
60618,Park,4,17,0.291666667,8,Count of parks
60619,Park,4,15,0.375,14,Count of parks
60620,Park,4,16,0.333333333,13,Count of parks
60621,Park,4,14,0.416666667,17,Count of parks
60622,Park,4,13,0.458333333,19,Count of parks
60623,Park,4,17,0.291666667,8,Count of parks
60624,Park,4,15,0.375,14,Count of parks
60625,Park,4,13,0.458333333,19,Count of parks
60626,Park,4,24,0,1,Count of parks
60628,Park,4,13,0.458333333,19,Count of parks
60629,Park,4,8,0.666666667,33,Count of parks
60630,Park,4,13,0.458333333,19,Count of parks
60631,Park,4,10,0.583333333,29,Count of parks
60632,Park,4,7,0.708333333,39,Count of parks
60633,Park,4,3,0.875,46,Count of parks
60634,Park,4,4,0.833333333,45,Count of parks
60636,Park,4,8,0.666666667,33,Count of parks
60637,Park,4,15,0.375,14,Count of parks
60638,Park,4,11,0.541666667,26,Count of parks
60639,Park,4,11,0.541666667,26,Count of parks
60640,Park,4,13,0.458333333,19,Count of parks
60641,Park,4,7,0.708333333,39,Count of parks
60642,Park,4,0,1,49,Count of parks
60643,Park,4,19,0.208333333,6,Count of parks
60644,Park,4,12,0.5,24,Count of parks
60645,Park,4,8,0.666666667,33,Count of parks
60646,Park,4,11,0.541666667,26,Count of parks
60647,Park,4,19,0.208333333,6,Count of parks
60649,Park,4,8,0.666666667,33,Count of parks
60651,Park,4,10,0.583333333,29,Count of parks
60652,Park,4,7,0.708333333,39,Count of parks
60653,Park,4,17,0.291666667,8,Count of parks
60654,Park,4,1,0.958333333,48,Count of parks
60655,Park,4,5,0.791666667,44,Count of parks
60656,Park,4,3,0.875,46,Count of parks
60657,Park,4,10,0.583333333,29,Count of parks
60659,Park,4,6,0.75,42,Count of parks
60660,Park,4,8,0.666666667,33,Count of parks
60707,Park,4,0,1,49,Count of parks
60827,Park,4,0,1,49,Count of parks
6761,Park,5,8,0.666666667,33,Count of parks
12311,Park,5,17,0.291666667,8,Count of parks
60608,Park,5,21,0.125,2,Count of parks
60609,Park,5,21,0.125,2,Count of parks
60610,Park,5,6,0.75,42,Count of parks
60612,Park,5,14,0.416666667,17,Count of parks
60613,Park,5,9,0.625,32,Count of parks
60614,Park,5,20,0.166666667,5,Count of parks
60615,Park,5,12,0.5,24,Count of parks
60616,Park,5,17,0.291666667,8,Count of parks
60617,Park,5,21,0.125,2,Count of parks
60618,Park,5,17,0.291666667,8,Count of parks
60619,Park,5,15,0.375,14,Count of parks
60620,Park,5,16,0.333333333,13,Count of parks
60621,Park,5,14,0.416666667,17,Count of parks
60622,Park,5,13,0.458333333,19,Count of parks
60623,Park,5,17,0.291666667,8,Count of parks
60624,Park,5,15,0.375,14,Count of parks
60625,Park,5,13,0.458333333,19,Count of parks
60626,Park,5,24,0,1,Count of parks
60628,Park,5,13,0.458333333,19,Count of parks
60629,Park,5,8,0.666666667,33,Count of parks
60630,Park,5,13,0.458333333,19,Count of parks
60631,Park,5,10,0.583333333,29,Count of parks
60632,Park,5,7,0.708333333,39,Count of parks
60633,Park,5,3,0.875,46,Count of parks
60634,Park,5,4,0.833333333,45,Count of parks
60636,Park,5,8,0.666666667,33,Count of parks
60637,Park,5,15,0.375,14,Count of parks
60638,Park,5,11,0.541666667,26,Count of parks
60639,Park,5,11,0.541666667,26,Count of parks
60640,Park,5,13,0.458333333,19,Count of parks
60641,Park,5,7,0.708333333,39,Count of parks
60642,Park,5,0,1,49,Count of parks
60643,Park,5,19,0.208333333,6,Count of parks
60644,Park,5,12,0.5,24,Count of parks
60645,Park,5,8,0.666666667,33,Count of parks
60646,Park,5,11,0.541666667,26,Count of parks
60647,Park,5,19,0.208333333,6,Count of parks
60649,Park,5,8,0.666666667,33,Count of parks
60651,Park,5,10,0.583333333,29,Count of parks
60652,Park,5,7,0.708333333,39,Count of parks
60653,Park,5,17,0.291666667,8,Count of parks
